,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
261,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 07:00:00+00:00,2018-12-30 00:00:00-07:00,no2,0.019,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
262,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 07:00:00+00:00,2018-12-30 00:00:00-07:00,no2,0.045,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
273,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 06:00:00+00:00,2018-12-29 23:00:00-07:00,no2,0.039,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
274,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 06:00:00+00:00,2018-12-29 23:00:00-07:00,no2,0.032,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
275,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 06:00:00+00:00,2018-12-29 23:00:00-07:00,no2,0.042,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
285,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 05:00:00+00:00,2018-12-29 22:00:00-07:00,no2,0.040999999999999995,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
300,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 04:00:00+00:00,2018-12-29 21:00:00-07:00,no2,0.048,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
304,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 04:00:00+00:00,2018-12-29 21:00:00-07:00,no2,0.036000000000000004,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
314,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 03:00:00+00:00,2018-12-29 20:00:00-07:00,no2,0.045,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
319,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 03:00:00+00:00,2018-12-29 20:00:00-07:00,no2,0.05,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
321,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 03:00:00+00:00,2018-12-29 20:00:00-07:00,no2,0.046,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
328,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 02:00:00+00:00,2018-12-29 19:00:00-07:00,no2,0.046,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
330,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 02:00:00+00:00,2018-12-29 19:00:00-07:00,no2,0.045,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
334,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 02:00:00+00:00,2018-12-29 19:00:00-07:00,no2,0.048,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
345,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 01:00:00+00:00,2018-12-29 18:00:00-07:00,no2,0.045,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
349,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 01:00:00+00:00,2018-12-29 18:00:00-07:00,no2,0.034,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
354,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 01:00:00+00:00,2018-12-29 18:00:00-07:00,no2,0.05,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
356,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-30 00:00:00+00:00,2018-12-29 17:00:00-07:00,no2,0.048,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
